Time,Computername,Eventid,Level,Alert,Details,Rulepath,Filepath
2021-05-03 17:58:38.718 +09:00,pki01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.722 +09:00,mssql01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.733 +09:00,mssql01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.734 +09:00,mssql01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.735 +09:00,mssql01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.742 +09:00,prtg-mon.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.742 +09:00,webiis01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.752 +09:00,prtg-mon.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.753 +09:00,prtg-mon.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.753 +09:00,prtg-mon.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.762 +09:00,adfs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.762 +09:00,fs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpH
ound
2021-05-03 17:58:38.771 +09:00,adfs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.771 +09:00,fs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.772 +09:00,fs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.773 +09:00,fs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.773 +09:00,adfs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.773 +09:00,adfs01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.774 +09:00,webiis01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.775 +09:00,webiis01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound
2021-05-03 17:58:38.775 +09:00,webiis01.offsec.lan,"""4624""",,Logon,Type: 3,rules\4624.yml,.\sample-evtx\EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4799-4624-Local admin group enumerated by SharpHound

Events Detected:44
Elapsed Time: 00:00:00.396

